setlist_entry_id,show_id,song_id,position,notes
1,1,389,1,
2,1,390,2,
3,1,391,3,
4,1,392,4,
5,1,393,5,
6,1,394,6,
7,1,395,7,
8,1,396,8,
9,1,397,9,
10,2,398,1,
11,2,399,2,
12,2,400,3,
13,2,401,4,
14,4,402,1,Vini Lopez playing a recorder
15,4,403,2,
16,4,404,3,
17,4,405,4,
18,4,406,5,new instrumental song
19,4,407,6,
20,15,408,1,
21,15,409,2,
22,15,410,3,
23,15,411,4,
24,15,412,5,
25,15,413,6,
26,15,414,7,
27,15,415,8,
28,15,416,9,w/snippet of Rolling Stones' One More Try
29,18,417,1,
30,18,418,2,
31,18,419,3,
32,18,420,4,
33,18,412,5,
34,18,411,6,
35,18,421,7,
36,18,422,8,
37,18,423,9,
38,18,414,10,
39,21,424,1,
40,21,425,2,
41,21,426,3,
42,21,427,4,
43,21,428,5,
44,21,429,6,
45,21,414,7,
46,21,430,8,
47,21,431,9,
48,21,423,10,
49,21,432,11,
50,21,433,12,
51,21,420,1,
52,21,419,2,
53,21,434,3,
54,21,421,4,
55,21,435,5,
56,21,412,6,
57,21,436,7,
58,21,437,8,
59,21,438,9,
60,22,417,1,
61,22,418,2,
62,22,419,3,
63,22,420,4,
64,22,439,5,
65,22,423,6,
66,22,426,7,
67,22,414,8,
68,24,417,1,
69,24,419,2,
70,24,420,3,
71,24,421,4,
72,24,431,5,
73,24,422,6,
74,24,411,7,
75,24,439,8,
76,24,423,9,
77,24,412,10,
78,24,426,11,
79,24,414,12,
80,26,419,1,
81,26,420,2,
82,26,421,3,
83,27,440,1,
84,27,441,2,
85,27,442,3,
86,27,443,4,
87,27,444,5,
88,27,445,6,
89,27,446,7,
90,27,447,8,
91,27,448,9,
92,27,423,10,
93,27,414,11,
94,47,449,1,
95,47,450,2,
96,47,428,3,
97,47,424,4,
98,47,410,5,
99,47,451,6,
100,47,452,7,
101,47,453,8,
102,47,454,9,
103,47,455,10,
104,47,456,11,
105,47,411,12,
106,50,449,1,
107,50,457,2,
108,50,458,3,
109,50,454,4,
110,50,442,5,
111,52,459,1,
112,52,372,2,
113,54,460,1,
114,54,461,2,
115,54,422,3,Instrumental
116,54,462,4,
117,54,463,5,
118,54,456,6,
119,59,464,1,
120,59,465,2,
121,64,466,1,
122,64,467,2,
123,64,455,3,
124,64,468,4,
125,65,370,1,
126,68,453,1,
127,68,469,2,
128,68,470,3,
129,70,471,1,
130,70,472,2,
131,70,469,3,
132,70,442,4,
133,70,456,5,
134,75,14,1,
135,75,2,2,
136,75,1,3,
137,75,7,4,
138,81,473,1,
139,81,474,2,
140,81,370,3,
141,81,9,4,Fast version; Slow version
142,81,9,5,Slow version
143,81,6,6,
144,81,475,7,
145,81,476,8,
146,81,7,9,
147,85,461,1,
148,85,477,2,
149,85,474,3,
150,85,478,4,
151,85,469,5,
152,85,479,6,
153,85,480,7,
154,85,481,8,
155,85,447,9,
156,85,440,10,
157,85,450,11,
158,85,482,12,
159,85,453,13,
160,85,474,14,
161,85,456,15,
162,86,483,1,
163,86,477,2,
164,86,480,3,
165,86,463,4,
166,86,461,5,
167,89,442,1,
168,89,450,2,
169,89,456,3,
170,89,410,4,
171,89,445,5,
172,89,484,6,
173,89,453,7,
174,89,428,8,2nd take
175,89,428,9,
176,90,428,1,
177,90,424,2,
178,90,410,3,
179,90,485,4,
180,90,486,5,
181,90,454,6,
182,90,456,7,
183,90,411,8,
184,90,449,9,
185,90,450,10,
186,94,2,1,
187,94,9,2,
188,94,370,3,
189,94,476,4,
190,97,10,1,
191,97,4,2,
192,97,2,3,
193,98,2,1,
194,103,14,1,
195,106,3,1,
196,106,21,2,
197,111,1,1,
198,111,14,2,
199,112,487,1,
200,112,488,2,
201,113,14,1,
202,113,372,2,
203,113,1,3,
204,113,7,4,
205,122,9,1,
206,122,19,2,
207,122,489,3,
208,122,17,4,
209,125,490,1,
210,125,491,2,
211,125,14,3,
212,125,372,4,
213,125,4,5,
214,125,1,6,
215,126,490,1,
216,126,14,2,
217,141,492,1,
218,141,372,2,
219,141,3,1,
220,141,491,2,w/ a sample of Love Is Like a Heat Wave
221,141,14,3,
222,141,8,4,
223,141,4,5,
224,141,21,6,
225,142,3,1,
226,142,491,2,
227,142,14,3,
228,142,16,4,
229,143,3,1,
230,143,8,2,
231,143,2,3,
232,144,3,1,
233,144,491,2,
234,144,14,3,
235,145,3,1,
236,145,491,2,
237,145,14,3,
238,146,3,1,
239,146,491,2,
240,146,14,3,
241,147,493,1,
242,147,19,2,
243,148,1,1,
244,148,494,2,
245,149,5,1,Bruce on piano
246,149,8,2,Bruce on piano
247,149,495,3,Bruce on guitar
248,149,3,4,
249,149,7,5,
250,149,4,6,
251,149,1,7,
252,149,21,8,
253,149,16,9,"w/ sample of Fun, Fun, Fun"
254,151,3,1,acoustic
255,151,8,2,
256,151,5,3,
257,151,7,4,
258,152,5,1,
259,152,494,2,
260,153,14,1,
261,154,5,1,
262,154,8,2,
263,154,14,3,
264,154,491,4,
265,154,4,5,
266,154,1,6,
267,154,21,7,
268,155,5,1,
269,155,1,2,
270,155,8,3,
271,155,14,4,
272,155,496,5,
273,157,497,1,
