song_id,title,album,is_outtake
1,Blinded By The Light,Greetings From Asbury Park NJ,0
2,Growin' Up,Greetings From Asbury Park NJ,0
3,Mary Queen Of Arkansas,Greetings From Asbury Park NJ,0
4,Does This Bus Stop At 82nd Street,Greetings From Asbury Park NJ,0
5,Lost In The Flood,Greetings From Asbury Park NJ,0
6,The Angel,Greetings From Asbury Park NJ,0
7,For You,Greetings From Asbury Park NJ,0
8,Spirit In The Night,Greetings From Asbury Park NJ,0
9,It's Hard To Be A Saint In The City,Greetings From Asbury Park NJ,0
10,Henry Boy,Greetings From Asbury Park NJ,1
11,The E Street Shuffle,Wild Innocent & E Street Shuffle,0
12,"4th Of July, Asbury Park Sandy",Wild Innocent & E Street Shuffle,0
13,Kitty's Back,Wild Innocent & E Street Shuffle,0
14,Wild Billy's Circus Story,Wild Innocent & E Street Shuffle,0
15,Incident On 57th Street,Wild Innocent & E Street Shuffle,0
16,Rosalita Come Out Tonight,Wild Innocent & E Street Shuffle,0
17,New York City Serenade,Wild Innocent & E Street Shuffle,0
18,The Fever,Wild Innocent & E Street Shuffle,1
19,Santa Ana,Wild Innocent & E Street Shuffle,1
20,Seaside Bar Song,Wild Innocent & E Street Shuffle,1
21,Thundercrack,Wild Innocent & E Street Shuffle,1
22,Zero And Blind Terry,Wild Innocent & E Street Shuffle,1
23,Thunder Road,Born To Run,0
24,Tenth Avenue Freeze Out,Born To Run,0
25,Night,Born To Run,0
26,Backstreets,Born To Run,0
27,Born To Run,Born To Run,0
28,She's The One,Born To Run,0
29,Meeting Across The River,Born To Run,0
30,Jungleland,Born To Run,0
31,Linda Let Me Be The One,Born To Run,1
32,Badlands,Darkness On The Edge Of Town,0
33,Adam Raised A Cain,Darkness On The Edge Of Town,0
34,Something In The Night,Darkness On The Edge Of Town,0
35,Candy's Room,Darkness On The Edge Of Town,0
36,Racing In The Street,Darkness On The Edge Of Town,0
37,The Promised Land,Darkness On The Edge Of Town,0
38,Factory,Darkness On The Edge Of Town,0
39,Streets Of Fire,Darkness On The Edge Of Town,0
40,Prove It All Night,Darkness On The Edge Of Town,0
41,Darkness On The Edge Of Town,Darkness On The Edge Of Town,0
42,Ain't Good Enough For You,Darkness On The Edge Of Town,1
43,Because The Night,Darkness On The Edge Of Town,1
44,Breakaway,Darkness On The Edge Of Town,1
45,Candy's Boy,Darkness On The Edge Of Town,1
46,City Of Night,Darkness On The Edge Of Town,1
47,Come On Let's Go Tonight,Darkness On The Edge Of Town,1
48,Don't Look Back,Darkness On The Edge Of Town,1
49,Fire,Darkness On The Edge Of Town,1
50,Give The Girl A Kiss,Darkness On The Edge Of Town,1
51,Gotta Get That Feeling,Darkness On The Edge Of Town,1
52,Hearts Of Stone,Darkness On The Edge Of Town,1
53,Iceman,Darkness On The Edge Of Town,1
54,It's A Shame,Darkness On The Edge Of Town,1
55,One Way Street,Darkness On The Edge Of Town,1
56,Outside Looking In,Darkness On The Edge Of Town,1
57,Paradise By The C,Darkness On The Edge Of Town,1
58,Racing In The Street '78,Darkness On The Edge Of Town,1
59,Rendezvous,Darkness On The Edge Of Town,1
60,Save My Love,Darkness On The Edge Of Town,1
61,So Young And In Love,Darkness On The Edge Of Town,1
62,Someday We'll Be Together,Darkness On The Edge Of Town,1
63,Spanish Eyes,Darkness On The Edge Of Town,1
64,Talk To Me,Darkness On The Edge Of Town,1
65,The Brokenhearted,Darkness On The Edge Of Town,1
66,The Little Things My Baby Does,Darkness On The Edge Of Town,1
67,The Promise,Darkness On The Edge Of Town,1
68,The Way,Darkness On The Edge Of Town,1
69,Wrong Side Of The Street,Darkness On The Edge Of Town,1
70,The Ties That Bind,The River,0
71,Sherry Darling,The River,0
72,Jackson Cage,The River,0
73,Two Hearts,The River,0
74,Independence Day,The River,0
75,Hungry Heart,The River,0
76,Out In The Street,The River,0
77,Crush On You,The River,0
78,You Can Look But You Better Not Touch,The River,0
79,I Wanna Marry You,The River,0
80,The River,The River,0
81,Point Blank,The River,0
82,Cadillac Ranch,The River,0
83,I'm A Rocker,The River,0
84,Fade Away,The River,0
85,Stolen Car,The River,0
86,Ramrod,The River,0
87,The Price You Pay,The River,0
88,Drive All Night,The River,0
89,Wreck On The Highway,The River,0
90,Be True,The River,1
91,Held Up Without A Gun,The River,1
92,Cindy,The River,1
93,Roulette,The River,1
94,Bring On The Night,The River,1
95,Restless Nights,The River,1
96,Dollhouse,The River,1
97,Where The Bands Are,The River,1
98,Loose Ends,The River,1
99,Living On The Edge Of The World,The River,1
100,Take 'em As They Come,The River,1
101,Ricky Wants A Man Of Her Own,The River,1
102,I Wanna Be With You,The River,1
103,Mary Lou,The River,1
104,From Small Things Big Things One Day Come,The River,1
105,Meet Me In The City,The River,1
106,The Man Who Got Away,The River,1
107,Little White Lies,The River,1
108,The Time That Never Was,The River,1
109,Night Fire,The River,1
110,Whitetown,The River,1
111,Chain Lightning,The River,1
112,Party Lights,The River,1
113,Stray Bullet,The River,1
114,Mr Outside,The River,1
115,Nebraska,Nebraska,0
