album,is_outtake,Song,Show 1 Date,Show 2 Date,Show 3 Date
Darkness On The Edge Of Town,1,The Promise,5/27/1978,5/26/1978,10/27/1976
Darkness On The Edge Of Town,1,Paradise By The C,8/18/1978,5/27/1978,5/26/1978
Nebraska,1,Johnny Bye Bye,7/18/1981,7/16/1981,7/13/1981
Nebraska,,My Father's House,9/14/1984,,
Born in the U.S.A.,1,Pink Cadillac,8/15/1985,8/14/1985,9/17/1984
The River,1,Roulette,3/9/1988,3/8/1988,
Tunnel Of Love,1,"Part Man, Part Monkey",3/9/1988,3/8/1988,
Darkness On The Edge Of Town,1,Don't Look Back,9/15/1999,,
Darkness On The Edge Of Town,1,Rendezvous,9/15/1999,12/9/1980,10/27/1976
The River,1,Take 'em As They Come,9/21/1999,,
Greetings From Asbury Park NJ,,Blinded By The Light,9/24/1999,,
Nebraska,,Mansion On The Hill,9/24/1999,9/20/1999,9/13/1999
Born in the U.S.A.,1,Murder Incorporated,9/25/1999,9/24/1999,9/21/1999
The River,1,Where The Bands Are,8/9/2003,9/13/1999,
Greetings From Asbury Park NJ,,For You,8/9/2003,10/6/2002,7/19/1981
Nebraska,,Highway Patrolman,11/8/2005,9/11/1984,
Nebraska,,Open All Night,11/8/2005,9/14/1984,
The River,1,Be True,11/8/2005,8/11/2003,9/21/1999
Nebraska,,Nebraska,11/9/2005,9/12/1984,
Wild Innocent & E Street Shuffle,1,Santa Ana,11/9/2005,,
Nebraska,,State Trooper,11/9/2005,9/18/1984,9/15/1984
Nebraska,,Used Cars,11/9/2005,,
Born in the U.S.A.,1,Cynthia,11/9/2005,,
Born in the U.S.A.,1,"Janey, Don't You Lose Heart",11/9/2005,9/21/1999,
Darkness On The Edge Of Town,1,Fire,4/28/2009,7/16/1981,12/9/1980
Born in the U.S.A.,1,This Hard Land,10/13/2009,11/8/2005,
Born To Run,,Meeting Across The River,10/19/2009,10/13/2009,9/21/1999
Wild Innocent & E Street Shuffle,1,Seaside Bar Song,3/28/2012,10/13/2009,
Darkness On The Edge Of Town,,Something In The Night,9/3/2012,10/14/2009,8/8/2003
Darkness On The Edge Of Town,,Adam Raised A Cain,9/3/2012,10/14/2009,11/9/2005
Born in the U.S.A.,1,Frankie,9/3/2012,,
Darkness On The Edge Of Town,,Factory,9/3/2012,10/14/2009,9/25/1999
Darkness On The Edge Of Town,,Streets Of Fire,9/3/2012,10/14/2009,
The River,1,Meet Me In The City,2/12/2016,,
The River,,Jackson Cage,2/12/2016,12/8/1980,
The River,,Independence Day,2/12/2016,11/9/2005,9/24/1999
The River,,Crush On You,2/12/2016,12/8/1980,
The River,,You Can Look But You Better Not Touch,2/12/2016,3/9/1988,3/8/1988
The River,,I Wanna Marry You,2/12/2016,10/19/2009,11/8/2005
The River,,The River,2/12/2016,9/3/2012,10/20/2009
The River,,Point Blank,2/12/2016,9/25/1999,9/15/1999
The River,,Cadillac Ranch,2/12/2016,9/2/2012,10/6/2007
The River,,I'm A Rocker,2/12/2016,8/11/2003,8/9/2003
The River,,Fade Away,2/12/2016,11/8/2005,
The River,,Stolen Car,2/12/2016,12/9/1980,12/8/1980
The River,,Ramrod,2/12/2016,10/14/2009,8/11/2003
The River,,The Price You Pay,2/12/2016,10/20/2009,12/9/1980
The River,,Drive All Night,2/12/2016,11/8/2005,12/9/1980
The River,,Wreck On The Highway,2/12/2016,7/18/1981,12/9/1980
Greetings From Asbury Park NJ,,Lost In The Flood,9/7/2016,9/2/2012,10/1/2004
Greetings From Asbury Park NJ,,Does This Bus Stop At 82nd Street,9/7/2016,9/3/2012,3/28/2012
Born To Run,,Jungleland,9/7/2016,2/12/2016,9/3/2012
The River,,The Ties That Bind,9/7/2016,2/12/2016,10/14/2009
Wild Innocent & E Street Shuffle,1,The Fever,9/7/2016,10/13/2009,4/28/2009
Wild Innocent & E Street Shuffle,,Incident On 57th Street,9/7/2016,10/6/2007,11/8/2005
Wild Innocent & E Street Shuffle,1,Thundercrack,9/7/2016,3/29/2012,10/14/2009
Reunion Tour,1,American Skin 41 Shots,9/9/2016,9/7/2016,3/28/2012
Wild Innocent & E Street Shuffle,,"4th Of July, Asbury Park Sandy",9/9/2016,7/19/1981,12/9/1980
