show_id,date,tour,city,venue
1,1968-09-28,1968,Red Bank,Off Broad Street Coffee House
2,1969-02-22,1969,Asbury Park,Upstage Club
3,1969-02-28,1969,Asbury Park,Upstage Club
4,1969-09-20,1969,Richmond,The Center
5,1971-03-18,1971,Deal,Deal Park Recreation Center
6,1971-03-27,1971,Asbury Park,Sunshine In
7,1971-04-02,1971,Asbury Park,Upstage Club
8,1971-04-03,1971,Asbury Park,Upstage Club
9,1971-04-10,1971,Asbury Park,The Green Mermaid
10,1971-04-11,1971,Asbury Park,The Green Mermaid
11,1971-04-16,1971,Asbury Park,Upstage Club
12,1971-04-17,1971,Asbury Park,Upstage Club
13,1971-04-23,1971,Asbury Park,Upstage Club
14,1971-04-24,1971,Asbury Park,Upstage Club
15,1971-05-15,1971,Union,Newark State College
16,1971-05-21,1971,Asbury Park,Upstage Club
17,1971-05-22,1971,Asbury Park,Upstage Club
18,1971-07-10,1971,Lincroft,Brookdale Community College
19,1971-07-11,1971,Asbury Park,Sunshine In
20,1971-07-18,1971,Richmond,Monroe Park
21,1971-07-22,1971,Sayreville,D'Scene
22,1971-07-23,1971,New York,Damrosch Park Bandshell
23,1971-07-25,1971,Rumson,Monmouth Hills Clubhouse
24,1971-07-29,1971,Sayreville,D'Scene
25,1971-08-05,1971,Long Branch,Garfield Park
26,1971-08-07,1971,Asbury Park,Sunshine In
27,1971-09-01,1971,Long Branch,Garfield Park
28,1971-09-03,1971,Asbury Park,Student Prince
29,1971-09-04,1971,Asbury Park,Student Prince
30,1971-09-05,1971,Asbury Park,Student Prince
31,1971-09-10,1971,Asbury Park,Student Prince
32,1971-09-11,1971,Asbury Park,Student Prince
33,1971-09-12,1971,Asbury Park,Student Prince
34,1971-09-17,1971,Asbury Park,Student Prince
35,1971-09-18,1971,Asbury Park,Student Prince
36,1971-09-19,1971,Asbury Park,Student Prince
37,1971-09-24,1971,Asbury Park,Student Prince
38,1971-09-25,1971,Asbury Park,Student Prince
39,1971-09-26,1971,Asbury Park,Student Prince
40,1971-10-01,1971,Asbury Park,Student Prince
41,1971-10-02,1971,Asbury Park,Student Prince
42,1971-10-03,1971,Asbury Park,Student Prince
43,1971-10-08,1971,New Brunswick,Rutgers University-New Brunswick
44,1971-10-15,1971,Asbury Park,Student Prince
45,1971-10-16,1971,Asbury Park,Student Prince
46,1971-10-17,1971,Asbury Park,Student Prince
47,1971-10-23,1971,Richmond,University of Richmond
48,1971-10-29,1971,West Long Branch,St. Jerome School
49,1971-10-29,1971,Asbury Park,Upstage Club
50,1971-10-30,1971,Richmond,Virginia Commonwealth University
51,1971-10-31,1971,Long Branch,National Guard Armory
52,1971-11-04,1971,New York,Pocketful of Tunes Inc.
53,1971-11-12,1971,Asbury Park,Student Prince
54,1971-11-13,1971,Asbury Park,Student Prince
55,1971-11-14,1971,Asbury Park,Student Prince
56,1971-11-19,1971,Asbury Park,Student Prince
57,1971-11-20,1971,Asbury Park,Student Prince
58,1971-11-21,1971,Asbury Park,Student Prince
59,1971-11-23,1971,Linden,New Plaza Theater
60,1971-11-24,1971,Asbury Park,Student Prince
61,1971-11-26,1971,Asbury Park,Student Prince
62,1971-11-27,1971,Asbury Park,Student Prince
63,1971-11-28,1971,Asbury Park,Student Prince
64,1971-12-03,1971,Asbury Park,Student Prince
65,1971-12-04,1971,Asbury Park,Student Prince
66,1971-12-05,1971,Asbury Park,Student Prince
67,1971-12-10,1971,Asbury Park,Student Prince
68,1971-12-11,1971,Asbury Park,Student Prince
69,1971-12-12,1971,Asbury Park,Student Prince
70,1971-12-17,1971,New Brunswick,Rutgers University-New Brunswick
71,1971-12-18,1971,Asbury Park,Student Prince
72,1971-12-19,1971,Asbury Park,Student Prince
73,1972-01-28,1972,Neptune City,Captain's Garter
74,1972-01-29,1972,Neptune City,Captain's Garter
75,1972-01-30,1972,Neptune City,Captain's Garter
76,1972-02-04,1972,Richmond,The Back Door
77,1972-02-05,1972,Richmond,The Back Door
78,1972-02-06,1972,Richmond,The Back Door
79,1972-02-11,1972,Piscataway,Livingston Student Center
80,1972-02-12,1972,Asbury Park,Sunshine In
81,1972-02-14,1972,New York,Pocketful of Tunes Inc.
82,1972-02-18,1972,Richmond,The Back Door
83,1972-02-19,1972,Richmond,The Back Door
84,1972-02-20,1972,Richmond,The Back Door
85,1972-02-25,1972,Richmond,The Back Door
86,1972-02-26,1972,Richmond,The Back Door
87,1972-02-27,1972,Richmond,The Back Door
88,1972-03-03,1972,Metuchen,Saint Joseph High School
89,1972-03-14,1972,Highlands,Challenger Eastern Surfboards
90,1972-03-17,1972,Richmond,Richmond Arena
91,1972-03-18,1972,Hampden Sydney,Hampden-Sydney College
92,1972-04-15,1972,New Brunswick,Rutgers University-New Brunswick
93,1972-04-21,1972,Red Bank,Red Bank Catholic High School
94,1972-05-02,1972,New York,Gaslight II
95,1972-07-05,1972,Red Bank,Cinema III
96,1972-08-09,1972,New York,Max's Kansas City
97,1972-08-10,1972,New York,Max's Kansas City
98,1972-08-11,1972,New York,Max's Kansas City
99,1972-08-12,1972,New York,Max's Kansas City
100,1972-08-13,1972,New York,Max's Kansas City
101,1972-08-14,1972,New York,Max's Kansas City
102,1972-08-30,1972,New York,Max's Kansas City
103,1972-09-04,1972,New York,The Bitter End
104,1972-09-04,1972,New York,Max's Kansas City
105,1972-10-28,"Greetings From Asbury Park, N.J.",West Chester,Hollinger Field House
106,1972-10-29,"Greetings From Asbury Park, N.J.",Long Branch,National Guard Armory
107,1972-11-11,"Greetings From Asbury Park, N.J.",York,York College of Pennsylvania
108,1972-11-25,"Greetings From Asbury Park, N.J.",Detroit,Cobo Arena
109,1972-12-05,"Greetings From Asbury Park, N.J.",New York,Kenny's Castaways
110,1972-12-06,"Greetings From Asbury Park, N.J.",New York,Kenny's Castaways
111,1972-12-07,"Greetings From Asbury Park, N.J.",New York,New York City Center
112,1972-12-07,"Greetings From Asbury Park, N.J.",Ossining,Sing Sing Correctional Facility
113,1972-12-07,"Greetings From Asbury Park, N.J.",New York,Kenny's Castaways
114,1972-12-08,"Greetings From Asbury Park, N.J.",New York,Kenny's Castaways
115,1972-12-09,"Greetings From Asbury Park, N.J.",New York,Kenny's Castaways
116,1972-12-10,"Greetings From Asbury Park, N.J.",New York,Kenny's Castaways
117,1972-12-29,"Greetings From Asbury Park, N.J.",Dayton,Hara Arena
118,1972-12-30,"Greetings From Asbury Park, N.J.",Columbus,Ohio Theatre
119,1973-01-04,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
120,1973-01-05,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
121,1973-01-06,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
122,1973-01-07,1973,Bryn Mawr,The Main Point
123,1973-01-08,"Greetings From Asbury Park, N.J.",Boston,Paul's Mall
124,1973-01-09,"Greetings From Asbury Park, N.J.",Boston,Paul's Mall
125,1973-01-09,"Greetings From Asbury Park, N.J.",Boston,WBCN-FM Studios
126,1973-01-10,"Greetings From Asbury Park, N.J.",Boston,Paul's Mall
127,1973-01-11,"Greetings From Asbury Park, N.J.",Boston,Paul's Mall
128,1973-01-12,"Greetings From Asbury Park, N.J.",Boston,Paul's Mall
129,1973-01-13,"Greetings From Asbury Park, N.J.",Boston,Paul's Mall
130,1973-01-14,"Greetings From Asbury Park, N.J.",Boston,Paul's Mall
131,1973-01-16,"Greetings From Asbury Park, N.J.",Villanova,Jake Nevin Field House
132,1973-01-18,"Greetings From Asbury Park, N.J.",Roslyn,My Father’s Place
133,1973-01-19,"Greetings From Asbury Park, N.J.",Roslyn,My Father’s Place
134,1973-01-20,"Greetings From Asbury Park, N.J.",Roslyn,My Father’s Place
135,1973-01-21,"Greetings From Asbury Park, N.J.",Roslyn,My Father’s Place
136,1973-01-24,"Greetings From Asbury Park, N.J.",Chicago,The Quiet Knight
137,1973-01-25,"Greetings From Asbury Park, N.J.",Chicago,The Quiet Knight
138,1973-01-26,"Greetings From Asbury Park, N.J.",Chicago,The Quiet Knight
139,1973-01-27,"Greetings From Asbury Park, N.J.",Chicago,The Quiet Knight
140,1973-01-28,"Greetings From Asbury Park, N.J.",Chicago,The Quiet Knight
141,1973-01-31,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
142,1973-02-01,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
143,1973-02-02,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
144,1973-02-03,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
145,1973-02-04,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
146,1973-02-05,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
147,1973-02-10,"Greetings From Asbury Park, N.J.",Asbury Park,Sunshine In
148,1973-02-11,"Greetings From Asbury Park, N.J.",South Orange,Seton Hall University
149,1973-02-14,"Greetings From Asbury Park, N.J.",Richmond,Franklin Street Gymnasium
150,1973-02-16,"Greetings From Asbury Park, N.J.",West Long Branch,Pollak Theatre
151,1973-02-26,"Greetings From Asbury Park, N.J.",West Hollywood,Troubadour
152,1973-02-28,"Greetings From Asbury Park, N.J.",Stockton,Stockton Memorial Civic Auditorium
153,1973-03-01,"Greetings From Asbury Park, N.J.",Los Angeles,Ahmanson Theater
154,1973-03-02,"Greetings From Asbury Park, N.J.",Berkeley,Berkeley Community Theatre
155,1973-03-03,"Greetings From Asbury Park, N.J.",Santa Monica,Santa Monica Civic Auditorium
156,1973-03-12,"Greetings From Asbury Park, N.J.",Boston,Oliver's
157,1973-03-13,"Greetings From Asbury Park, N.J.",Boston,Oliver's
158,1973-03-14,"Greetings From Asbury Park, N.J.",Boston,Oliver's
159,1973-03-15,"Greetings From Asbury Park, N.J.",Boston,Oliver's
160,1973-03-16,"Greetings From Asbury Park, N.J.",Boston,Oliver's
161,1973-03-17,"Greetings From Asbury Park, N.J.",Boston,Oliver's
162,1973-03-18,"Greetings From Asbury Park, N.J.",Kingston,Keaney Gymnasium
163,1973-03-23,"Greetings From Asbury Park, N.J.",Providence,Palace Concert Theater
164,1973-03-24,"Greetings From Asbury Park, N.J.",Lewiston,Niagara University
165,1973-03-29,"Greetings From Asbury Park, N.J.",Kutztown,Keystone Hall
166,1973-04-01,"Greetings From Asbury Park, N.J.",New Brunswick,Rutgers University-New Brunswick
167,1973-04-06,"Greetings From Asbury Park, N.J.",Westbury,Westbury Music Fair
168,1973-04-07,"Greetings From Asbury Park, N.J.",Norfolk,Scope Arena
169,1973-04-11,"Greetings From Asbury Park, N.J.",Atlanta,The Omni
170,1973-04-14,"Greetings From Asbury Park, N.J.",Richmond,Richmond Coliseum
171,1973-04-18,"Greetings From Asbury Park, N.J.",Lincroft,Robert J. Collins Arena
172,1973-04-23,"Greetings From Asbury Park, N.J.",Hartford,Bushnell Memorial Hall
173,1973-04-24,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
174,1973-04-25,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
175,1973-04-27,"Greetings From Asbury Park, N.J.",Athens,Convocation Center
176,1973-04-28,"Greetings From Asbury Park, N.J.",College Park,Cole Field House
177,1973-05-01,"Greetings From Asbury Park, N.J.",Los Angeles,Ahmanson Theater
178,1973-05-05,"Greetings From Asbury Park, N.J.",Providence,"Alumni Hall, Providence College"
179,1973-05-06,"Greetings From Asbury Park, N.J.",Amherst,Alumni Stadium
180,1973-05-11,"Greetings From Asbury Park, N.J.",Bexley,Capital University
181,1973-05-12,"Greetings From Asbury Park, N.J.",Lewiston,Niagara University
182,1973-05-19,"Greetings From Asbury Park, N.J.",Detroit,Masonic Temple Theatre
183,1973-05-24,"Greetings From Asbury Park, N.J.",Washington,Childe Harold
184,1973-05-25,"Greetings From Asbury Park, N.J.",Washington,Childe Harold
185,1973-05-26,"Greetings From Asbury Park, N.J.",Washington,Childe Harold
186,1973-05-30,"Greetings From Asbury Park, N.J.",Fayetteville,Cumberland County Memorial Arena
187,1973-05-31,"Greetings From Asbury Park, N.J.",Richmond,Richmond Coliseum
188,1973-05-31,"Greetings From Asbury Park, N.J.",Richmond,WGOE Radio
189,1973-06-01,"Greetings From Asbury Park, N.J.",Hampton,Hampton Coliseum
190,1973-06-02,1973,Bethesda,WHFS-FM Studios
191,1973-06-02,"Greetings From Asbury Park, N.J.",Baltimore,Baltimore Civic Center
192,1973-06-03,"Greetings From Asbury Park, N.J.",New Haven,New Haven Veterans Memorial Coliseum
193,1973-06-06,"Greetings From Asbury Park, N.J.",Philadelphia,Spectrum
194,1973-06-07,"Greetings From Asbury Park, N.J.",Syracuse,Onondaga War Memorial Auditorium
195,1973-06-08,"Greetings From Asbury Park, N.J.",Boston,Boston Garden
196,1973-06-09,"Greetings From Asbury Park, N.J.",Boston,Boston Garden
197,1973-06-10,"Greetings From Asbury Park, N.J.",Springfield,Springfield Civic Center
198,1973-06-13,"Greetings From Asbury Park, N.J.",Binghamton,Broome County Veterans Memorial Arena
199,1973-06-14,"Greetings From Asbury Park, N.J.",New York,Madison Square Garden
200,1973-06-15,"Greetings From Asbury Park, N.J.",New York,Madison Square Garden
201,1973-06-22,"Greetings From Asbury Park, N.J.",Seaside Heights,Fat City
202,1973-06-23,"Greetings From Asbury Park, N.J.",Seaside Heights,Fat City
203,1973-06-24,"Greetings From Asbury Park, N.J.",Seaside Heights,Fat City
204,1973-07-05,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
205,1973-07-06,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
206,1973-07-07,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
207,1973-07-08,"Greetings From Asbury Park, N.J.",Bryn Mawr,The Main Point
208,1973-07-18,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
209,1973-07-19,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
210,1973-07-20,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
211,1973-07-21,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
212,1973-07-22,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
213,1973-07-23,"Greetings From Asbury Park, N.J.",New York,Max's Kansas City
214,1973-07-27,"Greetings From Asbury Park, N.J.",San Francisco,Fairmont Hotel
215,1973-07-27,"Greetings From Asbury Park, N.J.",Los Angeles,Ahmanson Theater
216,1973-07-31,"Greetings From Asbury Park, N.J.",Roslyn,My Father’s Place
217,1973-08-01,"Greetings From Asbury Park, N.J.",Roslyn,My Father’s Place
218,1973-08-02,"Greetings From Asbury Park, N.J.",Roslyn,My Father’s Place
219,1973-08-14,"Greetings From Asbury Park, N.J.",Cherry Hill,Erlton Lounge
220,1973-08-20,"Greetings From Asbury Park, N.J.",Boston,Oliver's
221,1973-08-21,"Greetings From Asbury Park, N.J.",Boston,Oliver's
222,1973-08-22,"Greetings From Asbury Park, N.J.",Boston,Oliver's
223,1973-08-23,"Greetings From Asbury Park, N.J.",Boston,Oliver's
224,1973-08-24,"Greetings From Asbury Park, N.J.",Boston,Oliver's
225,1973-08-25,"Greetings From Asbury Park, N.J.",Boston,Oliver's
226,1973-08-26,"Greetings From Asbury Park, N.J.",Boston,Oliver's
227,1973-08-31,"Greetings From Asbury Park, N.J.",Seaside Heights,Fat City
