song_id,title,album,is_outtake
1,PARADISE BY THE SEA,Cover,0
2,PARADISE BY THE C,Cover,0
3,TWIST AND SHOUT,Cover,0
4,DEVIL WITH THE BLUE DRESS,Cover,0
5,GOOD GOLLY MISS MOLLY,Cover,0
6,SWEET SOUL MUSIC,Cover,0
7,QUARTER TO THREE,Cover,0
8,JERSEY GIRL,Cover,0
9,WHO'LL STOP THE RAIN,Cover,0
10,WAR,Cover,0
11,LUCILLE,Cover,0
12,LIGHT OF DAY,Cover,0
13,SANTA CLAUS IS COMIN' TO TOWN,Cover,0
14,SANTA CLAUS IS COMING TO TOWN,Cover,0
15,DETROIT MEDLEY,Cover,0
16,MONA,Cover,0
17,STAND BY ME,Cover,0
18,SUMMERTIME BLUES,Cover,0
19,TRAPPED,Cover,0
20,BLINDED BY THE LIGHT,Greetings From Asbury Park NJ,0
21,GROWIN' UP,Greetings From Asbury Park NJ,0
22,MARY QUEEN OF ARKANSAS,Greetings From Asbury Park NJ,0
23,DOES THIS BUS STOP AT 8ND STREET?,Greetings From Asbury Park NJ,0
24,LOST IN THE FLOOD,Greetings From Asbury Park NJ,0
25,THE ANGEL,Greetings From Asbury Park NJ,0
26,FOR YOU,Greetings From Asbury Park NJ,0
27,SPIRIT IN THE NIGHT,Greetings From Asbury Park NJ,0
28,IT'S HARD TO BE A SAINT IN THE CITY,Greetings From Asbury Park NJ,0
29,HENRY BOY,Greetings From Asbury Park NJ,1
30,THE E STREET SHUFFLE,Wild Innocent & E Street Shuffle,0
31,"4TH OF JULY, ASBURY PARK (SANDY)",Wild Innocent & E Street Shuffle,0
32,KITTY'S BACK,Wild Innocent & E Street Shuffle,0
33,WILD BILLY'S CIRCUS STORY,Wild Innocent & E Street Shuffle,0
34,INCIDENT ON 57TH STREET,Wild Innocent & E Street Shuffle,0
35,ROSALITA (COME OUT TONIGHT),Wild Innocent & E Street Shuffle,0
36,NEW YORK CITY SERENADE,Wild Innocent & E Street Shuffle,0
37,THE FEVER,Wild Innocent & E Street Shuffle,1
38,SANTA ANA,Wild Innocent & E Street Shuffle,1
39,SEASIDE BAR SONG,Wild Innocent & E Street Shuffle,1
40,THUNDERCRACK,Wild Innocent & E Street Shuffle,1
41,ZERO AND BLIND TERRY,Wild Innocent & E Street Shuffle,1
42,THUNDER ROAD,Born To Run,0
43,TENTH AVENUE FREEZE-OUT,Born To Run,0
44,NIGHT,Born To Run,0
45,BACKSTREETS,Born To Run,0
46,BORN TO RUN,Born To Run,0
47,SHE'S THE ONE,Born To Run,0
48,MEETING ACROSS THE RIVER,Born To Run,0
49,JUNGLELAND,Born To Run,0
50,LINDA LET ME BE THE ONE,Born To Run,1
51,BADLANDS,Darkness On The Edge Of Town,0
52,ADAM RAISED A CAIN,Darkness On The Edge Of Town,0
53,SOMETHING IN THE NIGHT,Darkness On The Edge Of Town,0
54,CANDY'S ROOM,Darkness On The Edge Of Town,0
55,RACING IN THE STREET,Darkness On The Edge Of Town,0
56,THE PROMISED LAND,Darkness On The Edge Of Town,0
57,FACTORY,Darkness On The Edge Of Town,0
58,STREETS OF FIRE,Darkness On The Edge Of Town,0
59,PROVE IT ALL NIGHT,Darkness On The Edge Of Town,0
60,DARKNESS ON THE EDGE OF TOWN,Darkness On The Edge Of Town,0
61,AIN'T GOOD ENOUGH FOR YOU,Darkness On The Edge Of Town,1
62,BECAUSE THE NIGHT,Darkness On The Edge Of Town,1
63,BREAKAWAY,Darkness On The Edge Of Town,1
64,CANDY'S BOY,Darkness On The Edge Of Town,1
65,CITY OF NIGHT,Darkness On The Edge Of Town,1
66,COME ON (LET'S GO TONIGHT),Darkness On The Edge Of Town,1
67,DON'T LOOK BACK,Darkness On The Edge Of Town,1
68,FIRE,Darkness On The Edge Of Town,1
69,GIVE THE GIRL A KISS,Darkness On The Edge Of Town,1
70,GOTTA GET THAT FEELING,Darkness On The Edge Of Town,1
